Customer ID,Customer Name,Prospect,Inactive,Bill to Contact First Name,Bill to Contact Last Name,Bill to Address-Line One,Bill to Address-Line Two,Bill to City,Bill to State,Bill to Zip,Bill to Country,Bill to Sales Tax ID,Ship to Address 1-Line One,Ship to Address 1-Line Two,Ship to City 1,Ship to State 1,Ship to Zipcode 1,Ship to Country 1,Ship to Sales Tax ID 1,Customer Type,Telephone 1,Telephone 2,Fax Number,Customer E-mail,Sales Representative ID,Account #,G/L Sales Account,Open Purchase Order Number,Ship Via,Resale Number,Pricing Level,Use Standard Terms,C.O.D. Terms,Prepaid Terms,Terms Type,Due Days,Discount Days,Discount Percent,Credit Limit,Credit Status,Charge Finance Charges,Due Month End Terms,Cardholder's Name,Credit Card Address Line 1,Credit Card Address Line 2,Credit Card City,Credit Card State,Credit Card Zip Code,Credit Card Country,Credit Card Stored Reference,Merchant ID,Last Known CC Number,Last Known CC Expiration Date,ACH Stored Reference,Last Known ACH Number,Use Receipt Settings,Customer Payment Method,Customer Cash Account,Name Long,Address,Mailing List?,Tax ID :,Br: Head Office,Customer Since Date,Last Statement Date,Customer Web Site,ID Replacement
EE,EMPTY TEST,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,1238-0000-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,3/15/08,,,0
EISAMUS,Mr.Isamu Sekine,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,1111-0000-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,11/3/2008,,,0
IPLASES01,"Plasess Co., Ltd.",FALSE,FALSE,,,"1-20 Nogawa,Shuku, Kozakai-Cho","Hoi-Gun, Aichi,",4410101,,,Japan,,,,,,,,,I,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,Head Office,,,,0
IPLASES02,Plasess Hong Kong Ltd.,FALSE,FALSE,,,,,,,,,,,,,,,,,I,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
IPLASES03,"Plasess (Thailand) Co., Ltd.",FALSE,FALSE,,,"64/33  M.4, Eastern Seaboard",Industrial Estate T.Pluakdaeng,A.Pluakdaeng,,,Rayong,,,,,,,,,I,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,1.46E+11,Head Office,,,,0
IPLASES04,Plasess International Limited,FALSE,FALSE,,,,,,,,,,,,,,,,,I,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
IPLASES05,"Plasess Hi-Tech Co., Ltd.",FALSE,FALSE,,,,,,,,,,,,,,,,,I,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
IPLASES06,"Plasess Plastics (Shenzhen) Co.,Ltd.",FALSE,FALSE,,,"No.B1 Bldg,West INdustry-Zone","Tan Tou Village,Song Gang Str.",Bao An District,,Shen Zhen,GuangDong China,,,,,,,,,,,,,,,,6179-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,Head Office,1/12/2015,,,0
IPLASES07,PT.PLASESS INDONESIA,FALSE,FALSE,,,Surya Cipta City of Industry,"Jl.Surya Kencana KAV.1-M1A,",Kutamekar Ciampel,,karawang,Jawa Indonesia,,,,,,,,,,,,,,,,6179-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,Head Office,4/20/15,,,0
IPLASES08,S.C.PLASESS (ROMANIA) S.R.L.,FALSE,FALSE,,,"JudTIMIS,Com.GIROC,Sat CHISODA",DN 59 KM8+550m STANGA.Hala,INCONTRO 04,,J35/2107/200,4  ROMANIA,,,,,,,,,,+40-(0)256-270-601,,+40-(0)256-270-941,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,RO14759788,Head Office,2/5/2016,,,0
