MAT_TYPE_CODE,MAT_TYPE_NAME,MAT_TYPE_DESC
MT00001,DEFAULT RAW MATERIAL,DEFAULT
MT00002,ABS 330 (ABT29892 BLACK),TECHNO ABS
MT00003,PP GT200-3 (BLACK),GSCPP
MT00004,PA6 CM1017 (NATURAL),AMILAN
MT00005,PA6 CM1011G-15 (B2 BLACK),AMILAN
MT00006,TPE HTC2751 (HB 579 BLACK),HYTREL
MT00007,PA66 CM3001G-30 (B BLACK),AMILAN
MT00008,PA66 1300G (T3301 BLACK),LEONA
MT00009,PBT 733LD (EF2001 NATURAL),DURANEX
MT00010,PBT 3300 (EF2001 NATURAL),DURANEX
MT00011,PC GSH2020R2 (9001 BLACK),IUPILON
MT00012,PBT 733LD (127B SC-T 9G302X GRAY),DURANEX
MT00013,PA66 CR302 (T3349 BLACK),LEONA
MT00014,PBT 733LD (ED3002 BLACK),DURANEX
MT00015,PA66 CR301 (T01 NATURAL),LEONA
MT00016,PA6 1015GX78V (BLACK),UBE NYLON
MT00017,PA6 1015GC650 (BLACK),UBE NYLON
MT00018,PA66 CR302 (T01 NATURAL),LEONA
MT00019,PA6 CM1017 (B1 BLACK),AMILAN
MT00020,PBT 5010G30X4 (NATURAL),NOVADURAN
MT00021,PA66 CR301 (T3348 BLACK),LEONA
MT00022,PA6 1015GC6 (NATURAL),UBE NYLON
MT00023,PBT 330EP (ED3002 BLACK),DURANEX
MT00024,POM GH-25 50%+M90-44 50% (N),DURACON
MT00025,PBT 7407 (ED3002 BLACK),DURANEX
MT00026,PBT 330HR (ED3002 BLACK),DURANEX
MT00027,PP P400S-P (TJB0359P BLACK),EL-PRO
MT00028,PBT 330HR (SC-T 9H109X GRAY),DURANEX
MT00029,TPE 5557X04 (NATURAL),HYTREL
MT00030,ELASTOMER  AR-S- 4424 (BLACK),null
MT00031,PA66 CM3001G-30+NBB5608MB10 (BL),AMILAN
MT00032,ABS TM-25 (KUA3322A 202B BLACK),BULKSAM
MT00033,ABS TM-25 (K1000 BLACK),BULKSAM
MT00034,PA6 CM1011G-30 (B2 BLACK),AMILAN
MT00035,ABS UT30B (022206 WHITE),BULKSAM
MT00036,ABS UT30B (450 BLACK),BULKSAM
MT00037,ABS KU-650 (901 BLACK N),KRALASTIC
MT00038,PBT 3316 (ED3002 BLACK),DURANEX
MT00039,PBT 3316 (EF2001 NATURAL),DURANEX
MT00040,PA66 CM3001G-30 (NATURAL),AMILAN
MT00041,C2680R-H Sn 0.64*44*COIL,PRESS
MT00042,ABS KU-650 (TJA8908T),KRALASTIC
MT00043,ABS E1500 (THC8458T GRAY),TECHNO MUH
MT00044,PBT 5101H01 (YB034 BLACK),TORAYCON
MT00045,PA6 1015GX-78GV,null
MT00046,PBT 5101H01 (YG183 GRAY),TORAYCON
MT00047,PC S-2000U (E7027 WHITE),IUPILON
MT00048,PC S-2000U (Q7031 WHITE),IUPILON
MT00049,PA66 1300S (321 NATURAL),LEONA
MT00050,PBT 3100H ED3002,null
MT00051,PBT 2002 (ED3002 BLACK),DURANEX
MT00052,PBT 3100H (EF2001 NATURAL),DURANEX
MT00053,ABS KU650(B)/PMMA 80NKM92084(SM),2-STEP INJECTION
MT00054,PC S-3000UR (N792T WHITE),IUPILON
MT00055,PMMA VH (NW460 WHITE),ACRYPET
MT00056,PMMA VR L40 (PSS0402 SMOKE),ACRYPET
MT00057,PC H3000-9001(B)/S2000UE7027(W),2-STEP INJECTION
MT00058,PC S2000U7516Q(SM)/S2000UE7027(W),2-STEP INJECTION
MT00059,ABS KU650(B)/PC S3000URN792T(W),2-STEP INJECTION
MT00060,TPV 8211-55B100(B)/ABS TM-25K1000(B),DOUBLE INJECTION
MT00061,PC S3000R9001(B)/PMMA VRL40PSS0402(SM),DOUBLE INJECTION
MT00062,PC S3000-9001(B)/S3000R5313(ICE),DOUBLE INJECTION
MT00063,POM F20-03+MBF30-01C2 E8002 (B),IUPITAL
MT00064,PA66 FR200 (T33122 BLACK),LEONA
MT00065,POM M90LV+M90-07 K5967 (GRE),DURACON
MT00066,PBT 3216 (ED3002 BLACK),DURANEX
MT00067,TPU C85A10 (CLEAR),ELASTOLLAN
MT00068,PP J715M+PPM 040001 (ฺBLACK),null
MT00069,PC S-3000R (5355 TRANSPARENT),IUPILON
MT00070,TPV 8211-55B100(B)/PC+ABS MB2213R9001(B),DOUBLE INJECTION
MT00071,PA66 13G15+LC020 A33850M (B),LEONA
MT00072,PA66 A3W (BK20592 BLACK),ULTRAMID
