BRANCH_CODE,WH_CODE,CUST_CODE,CUST_NAME,ITEM_ID,ITEM_CODE,ITEM_CODE_REF,ITEM_NAME,LOT_NO,LABEL_ID,LABEL_LOT_QTY,DOC_NO,RECEIVING_DATE,LOCATION_DATE,LOCATION_ID
"ACLC","ACLC","BST","BOSTIK (THAILAND) CO., LTD.","BST0000006","650228","30609728","HMT AFX 440A (N)","UNDEFINED","BST1912000214","30","DE-ACLC191200060","2019-12-26","2019-12-26","G08-04A"
"ACLC","ACLC","BST","BOSTIK (THAILAND) CO., LTD.","BST0000006","650228","30609728","HMT AFX 440A (N)","UNDEFINED","BST1912000215","30","DE-ACLC191200060","2019-12-26","2019-12-26","G08-04B"
"ACLC","ACLC","BST","BOSTIK (THAILAND) CO., LTD.","BST0000006","650228","30609728","HMT AFX 440A (N)","UNDEFINED","BST1912000216","30","DE-ACLC191200060","2019-12-26","2019-12-26","G08-04C"
"ACLC","ACLC","BST","BOSTIK (THAILAND) CO., LTD.","BST0000006","650228","30609728","HMT AFX 440A (N)","UNDEFINED","BST2001000001","30","DE-ACLC200100008","2020-01-07","2020-01-07","E01-02A"
"ACLC","ACLC","BST","BOSTIK (THAILAND) CO., LTD.","BST0000006","650228","30609728","HMT AFX 440A (N)","UNDEFINED","BST2001000002","30","DE-ACLC200100008","2020-01-07","2020-01-07","E01-02B"
"ACLC","ACLC","BST","BOSTIK (THAILAND) CO., LTD.","BST0000006","650228","30609728","HMT AFX 440A (N)","UNDEFINED","BST2001000003","30","DE-ACLC200100008","2020-01-07","2020-01-07","E01-02C"
"ACLC","ACLC","BST","BOSTIK (THAILAND) CO., LTD.","BST0000006","650228","30609728","HMT AFX 440A (N)","UNDEFINED","BST2001000004","30","DE-ACLC200100008","2020-01-07","2020-01-07","E02-02A"
"ACLC","ACLC","BST","BOSTIK (THAILAND) CO., LTD.","BST0000006","650228","30609728","HMT AFX 440A (N)","UNDEFINED","BST2001000005","30","DE-ACLC200100008","2020-01-07","2020-01-07","E02-02B"
"ACLC","ACLC","BST","BOSTIK (THAILAND) CO., LTD.","BST0000006","650228","30609728","HMT AFX 440A (N)","UNDEFINED","BST2001000006","30","DE-ACLC200100008","2020-01-07","2020-01-07","E02-02C"
"ACLC","ACLC","BST","BOSTIK (THAILAND) CO., LTD.","BST0000006","650228","30609728","HMT AFX 440A (N)","UNDEFINED","BST2001000007","30","DE-ACLC200100008","2020-01-07","2020-01-07","E03-02A"
"ACLC","ACLC","BST","BOSTIK (THAILAND) CO., LTD.","BST0000006","650228","30609728","HMT AFX 440A (N)","UNDEFINED","BST2001000008","30","DE-ACLC200100008","2020-01-07","2020-01-07","E03-02B"
"ACLC","ACLC","BST","BOSTIK (THAILAND) CO., LTD.","BST0000006","650228","30609728","HMT AFX 440A (N)","UNDEFINED","BST2001000009","30","DE-ACLC200100008","2020-01-07","2020-01-07","E03-02C"
"ACLC","ACLC","BST","BOSTIK (THAILAND) CO., LTD.","BST0000006","650228","30609728","HMT AFX 440A (N)","UNDEFINED","BST2001000010","30","DE-ACLC200100008","2020-01-07","2020-01-07","E10-02A"
"ACLC","ACLC","BST","BOSTIK (THAILAND) CO., LTD.","BST0000006","650228","30609728","HMT AFX 440A (N)","UNDEFINED","BST2001000022","30","DE-ACLC200100008","2020-01-07","2020-01-07","E12-02A"
"ACLC","ACLC","BST","BOSTIK (THAILAND) CO., LTD.","BST0000006","650228","30609728","HMT AFX 440A (N)","UNDEFINED","BST2001000023","30","DE-ACLC200100008","2020-01-07","2020-01-07","E12-02B"
"ACLC","ACLC","BST","BOSTIK (THAILAND) CO., LTD.","BST0000006","650228","30609728","HMT AFX 440A (N)","UNDEFINED","BST2001000024","30","DE-ACLC200100008","2020-01-07","2020-01-07","E12-02C"
"ACLC","ACLC","BST","BOSTIK (THAILAND) CO., LTD.","BST0000006","650228","30609728","HMT AFX 440A (N)","UNDEFINED","BST2001000025","30","DE-ACLC200100008","2020-01-07","2020-01-07","E13-02B"
"ACLC","ACLC","BST","BOSTIK (THAILAND) CO., LTD.","BST0000006","650228","30609728","HMT AFX 440A (N)","UNDEFINED","BST2001000026","30","DE-ACLC200100008","2020-01-07","2020-01-07","E13-02C"
"ACLC","ACLC","BST","BOSTIK (THAILAND) CO., LTD.","BST0000006","650228","30609728","HMT AFX 440A (N)","UNDEFINED","BST2001000027","30","DE-ACLC200100008","2020-01-07","2020-01-07","F01-02A"
"ACLC","ACLC","BST","BOSTIK (THAILAND) CO., LTD.","BST0000006","650228","30609728","HMT AFX 440A (N)","UNDEFINED","BST2001000028","30","DE-ACLC200100008","2020-01-07","2020-01-07","F01-02B"
"ACLC","ACLC","BST","BOSTIK (THAILAND) CO., LTD.","BST0000006","650228","30609728","HMT AFX 440A (N)","UNDEFINED","BST2001000029","30","DE-ACLC200100008","2020-01-07","2020-01-07","F01-02C"
