Item ID,Item Description,Item Class,Inactive,Subject to Commission,Description for Sales,Description for Purchases,Sales Price 1,Sales Price 1 Calculation,Sales Price 1 Rounding,Sales Price 1 Rounding #,Sales Price 2,Sales Price 2 Calculation,Sales Price 2 Rounding,Sales Price 2 Rounding #,Sales Price 3,Sales Price 3 Calculation,Sales Price 3 Rounding,Sales Price 3 Rounding #,Sales Price 4,Sales Price 4 Calculation,Sales Price 4 Rounding,Sales Price 4 Rounding #,Sales Price 5,Sales Price 5 Calculation,Sales Price 5 Rounding,Sales Price 5 Rounding #,Sales Price 6,Sales Price 6 Calculation,Sales Price 6 Rounding,Sales Price 6 Rounding #,Sales Price 7,Sales Price 7 Calculation,Sales Price 7 Rounding,Sales Price 7 Rounding #,Sales Price 8,Sales Price 8 Calculation,Sales Price 8 Rounding,Sales Price 8 Rounding #,Sales Price 9,Sales Price 9 Calculation,Sales Price 9 Rounding,Sales Price 9 Rounding #,Sales Price 10,Sales Price 10 Calculation,Sales Price 10 Rounding,Sales Price 10 Rounding #,Qty Discount ID,Item Tax Type,Last Unit Cost,Costing Method,G/L Sales Account,G/L Inventory Account,G/L COGS/Salary Acct,UPC / SKU,Item Type,Location,Stocking U/M,Use Multi-Packs,Purchasing U/M,Purchasing U/M Description,Purch U/M No. of Stocking Units,Purchasing Weight,Purchasing UPC / SCC,Use Purchasing U/M as Default,Sales U/M,Sales U/M Description,Sales U/M No. of Stocking Units,Sales Weight,Sales UPC / SCC,Use Sales U/M as Default,Weight,Minimum Stock,Reorder Quantity,Vendor ID,Buyer ID,FOR CUSTOMER,INV ITEM CODE,CYCLE TIME,DEPT ID,INV ITEM DESC,Master Stock Item ID,Primary Attrib. ID 1,Primary Attrib. Desc. 1,Primary Attrib. ID 2,Primary Attrib. Desc. 2,Primary Attrib. ID 3,Primary Attrib. Desc. 3,Primary Attrib. ID 4,Primary Attrib. Desc. 4,Primary Attrib. ID 5,Primary Attrib. Desc. 5,Primary Attrib. ID 6,Primary Attrib. Desc. 6,Primary Attrib. ID 7,Primary Attrib. Desc. 7,Primary Attrib. ID 8,Primary Attrib. Desc. 8,Primary Attrib. ID 9,Primary Attrib. Desc. 9,Primary Attrib. ID 10,Primary Attrib. Desc. 10,Primary Attrib. ID 11,Primary Attrib. Desc. 11,Primary Attrib. ID 12,Primary Attrib. Desc. 12,Primary Attrib. ID 13,Primary Attrib. Desc. 13,Primary Attrib. ID 14,Primary Attrib. Desc. 14,Primary Attrib. ID 15,Primary Attrib. Desc. 15,Primary Attrib. ID 16,Primary Attrib. Desc. 16,Primary Attrib. ID 17,Primary Attrib. Desc. 17,Primary Attrib. ID 18,Primary Attrib. Desc. 18,Primary Attrib. ID 19,Primary Attrib. Desc. 19,Primary Attrib. ID 20,Primary Attrib. Desc. 20,Secondary Attrib. ID 1,Secondary Attrib. Desc. 1,Secondary Attrib. ID 2,Secondary Attrib. Desc. 2,Secondary Attrib. ID 3,Secondary Attrib. Desc. 3,Secondary Attrib. ID 4,Secondary Attrib. Desc. 4,Secondary Attrib. ID 5,Secondary Attrib. Desc. 5,Secondary Attrib. ID 6,Secondary Attrib. Desc. 6,Secondary Attrib. ID 7,Secondary Attrib. Desc. 7,Secondary Attrib. ID 8,Secondary Attrib. Desc. 8,Secondary Attrib. ID 9,Secondary Attrib. Desc. 9,Secondary Attrib. ID 10,Secondary Attrib. Desc. 10,Secondary Attrib. ID 11,Secondary Attrib. Desc. 11,Secondary Attrib. ID 12,Secondary Attrib. Desc. 12,Secondary Attrib. ID 13,Secondary Attrib. Desc. 13,Secondary Attrib. ID 14,Secondary Attrib. Desc. 14,Secondary Attrib. ID 15,Secondary Attrib. Desc. 15,Secondary Attrib. ID 16,Secondary Attrib. Desc. 16,Secondary Attrib. ID 17,Secondary Attrib. Desc. 17,Secondary Attrib. ID 18,Secondary Attrib. Desc. 18,Secondary Attrib. ID 19,Secondary Attrib. Desc. 19,Secondary Attrib. ID 20,Secondary Attrib. Desc. 20,Item Note,Print Components,Number of Components,Primary Attrib. Name,Substock Primary Attrib. ID,Substock Primary Attrib. Desc.,Secondary Attrib. Name,Substock Second Attrib. ID,Substock Second Attrib. Desc.,Warranty Period,Revision Number,Effective Date,Component Number,Component ID,Quantity Needed,Part Number
P1-128175-0010,C1100R-H 0.8x76,1,FALSE,FALSE,C1100R-H 0.8x76,C1100R-H 0.8x76,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,1,1311-2510-0,1331-2510-0,1311-2510-0,,P1,PRESS,KG,FALSE,,,0,0,,FALSE,,,1,1,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1,,,,,,,,,,0,,0,
P1-128175-0020,C1100R-H 0.8x52,1,FALSE,FALSE,C1100R-H 0.8x52,C1100R-H 0.8x52,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,1,1311-2510-0,1331-2510-0,1311-2510-0,,P1,PRESS,KG,FALSE,,,0,0,,FALSE,,,1,1,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1,,,,,,,,,,0,,0,
P1-128192-0010,C1100R-H 2.0/0.8x61,1,FALSE,FALSE,C1100R-H 2.0/0.8x61,C1100R-H 2.0/0.8x61,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,1,1311-2510-0,1331-2510-0,1311-2510-0,,P1,PRESS,KG,FALSE,,,0,0,,FALSE,,,1,1,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1,,,,,,,,,,0,,0,
P1-128192-0020,C1100R-H 2.0/0.8x42,1,FALSE,FALSE,C1100R-H 2.0/0.8x42,C1100R-H 2.0/0.8x42,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,1,1311-2510-0,1331-2510-0,1311-2510-0,,P1,PRESS,KG,FALSE,,,0,0,,FALSE,,,1,1,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1,,,,,,,,,,0,,0,
P1-128216-0010C,C1100R-H 0.8x55,1,FALSE,FALSE,C1100R-H 0.8x55,C1100R-H 0.8x55,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,1,1311-2510-0,1331-2510-0,1311-2510-0,,P1,PRESS,KG,FALSE,,,0,0,,FALSE,,,1,1,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1,,,,,,,,,,0,,0,
P1-128216-0020,C1100R-H 0.8x47,1,FALSE,FALSE,C1100R-H 0.8x47,C1100R-H 0.8x47,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,1,1311-2510-0,1331-2510-0,1311-2510-0,,P1,PRESS,KG,FALSE,,,0,0,,FALSE,,,1,1,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1,,,,,,,,,,0,,0,
P1-128221-0021,C1100R-H 0.8x45,1,FALSE,FALSE,C1100R-H 0.8x45,C1100R-H 0.8x45,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,1,1311-2510-0,1331-2510-0,1311-2510-0,,P1,PRESS,KG,FALSE,,,0,0,,FALSE,,,1,1,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1,,,,,,,,,,0,,0,
P1-128229-0010C,C1100R-H 0.8x96,1,FALSE,FALSE,C1100R-H 0.8x96,C1100R-H 0.8x96,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,1,1311-2510-0,1331-2510-0,1311-2510-0,,P1,PRESS,KG,FALSE,,,0,0,,FALSE,,,1,1,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1,,,,,,,,,,0,,0,
P1-134243-0162,C1720R-HMB Ag  S-SP2 (U) 0.15x14,1,FALSE,FALSE,C1720R-HMB Ag  S-SP2 (U) 0.15x14,C1720R-HMB Ag  S-SP2 (U) 0.15x14,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,1,1311-2510-0,1331-2510-0,1311-2510-0,,P1,PRESS,KG,FALSE,,,0,0,,FALSE,,,1,1,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1,,,,,,,,,,0,,0,
P1-183643-0061,C1100R-1/2H 0.64x55,1,FALSE,FALSE,C1100R-1/2H 0.64x55,C1100R-1/2H 0.64x55,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,1,1311-2510-0,1331-2510-0,1311-2510-0,,P1,PRESS,KG,FALSE,,,0,0,,FALSE,,,1,1,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1,,,,,,,,,,0,,0,
